date,race_no,strategy,horse,jockey,odds,model_prob,market_prob,value_ratio,won,pnl,stake
2025-05-21,1,value_bet,新力,楊明綸,4.6,0.41065300329603394,0.17677347771888613,2.3230464693865134,1,36.0,10.0
2025-05-21,1,favourite,寶進,,2.8,,,,0,-10.0,10.0
2025-05-21,1,model_top,新力,,4.6,,,,1,36.0,10.0
2025-05-21,2,value_bet,無極勇將,鍾易禮,24.0,0.07224672443568013,0.034076407295818796,2.1201391275935615,0,-10.0,10.0
2025-05-21,2,value_bet,型到爆,艾兆禮,7.8,0.16832289862279526,0.10485048398713477,1.6053611983655565,0,-10.0,10.0
2025-05-21,2,value_bet,至旺財,布文,12.0,0.15299458644924072,0.06815281459163759,2.2448755398579427,1,110.0,10.0
2025-05-21,2,favourite,朗日雪峰,,3.2,,,,0,-10.0,10.0
2025-05-21,2,model_top,朗日雪峰,,3.2,,,,0,-10.0,10.0
2025-05-21,3,value_bet,論文,奧爾民,3.6,0.33058648878042196,0.2262003043728623,1.4614767636894617,0,-10.0,10.0
2025-05-21,3,favourite,論文,,3.6,,,,0,-10.0,10.0
2025-05-21,3,model_top,論文,,3.6,,,,0,-10.0,10.0
2025-05-21,4,value_bet,皇仁福星,田泰安,8.7,0.1883005772688428,0.09247309470877856,2.0362742034518204,0,-10.0,10.0
2025-05-21,4,value_bet,連連歡呼,賀銘年,4.4,0.2644133922087695,0.18284452817417576,1.4461105008124286,0,-10.0,10.0
2025-05-21,4,value_bet,美麗歡聲,艾兆禮,10.0,0.25300703399171537,0.08045159239663734,3.1448356266754316,0,-10.0,10.0
2025-05-21,4,favourite,三軍勇將,,2.7,,,,0,-10.0,10.0
2025-05-21,4,model_top,連連歡呼,,4.4,,,,0,-10.0,10.0
2025-05-21,5,value_bet,瑤瑤日上,巴度,4.4,0.3374908527217481,0.1843464770802911,1.8307420790838105,0,-10.0,10.0
2025-05-21,5,value_bet,辣得金,賀銘年,7.8,0.21465389882608107,0.10399032040426678,2.064171915151381,0,-10.0,10.0
2025-05-21,5,value_bet,精益大師,班德禮,4.9,0.2720004491215644,0.1655356120720981,1.6431536738034118,1,39.0,10.0
2025-05-21,5,favourite,瑤瑤日上,,4.4,,,,0,-10.0,10.0
2025-05-21,5,model_top,瑤瑤日上,,4.4,,,,0,-10.0,10.0
2025-05-21,6,value_bet,電玩精英,希威森,12.0,0.09852884671286803,0.06783496825624015,1.4524787030294564,0,-10.0,10.0
2025-05-21,6,value_bet,快樂老撾,梁家俊,6.6,0.24049493433462316,0.12333630592043665,1.9499119301478405,0,-10.0,10.0
2025-05-21,6,value_bet,富國兄弟,蔡明紹,4.2,0.2668252904997091,0.193814195017829,1.3767066466682887,1,32.0,10.0
2025-05-21,6,favourite,天下寵兒,,3.8,,,,0,-10.0,10.0
2025-05-21,6,model_top,富國兄弟,,4.2,,,,1,32.0,10.0
2025-05-21,7,value_bet,無限美麗,布文,24.0,0.05706679073346789,0.03372770105688239,1.6919857845402415,0,-10.0,10.0
2025-05-21,7,value_bet,美麗邂逅,鍾易禮,11.0,0.2317901730862466,0.07358771139683433,3.1498489175220903,0,-10.0,10.0
2025-05-21,7,value_bet,縱橫萬里,希威森,27.0,0.05328440870497931,0.029980178717228797,1.7773212497348525,0,-10.0,10.0
2025-05-21,7,favourite,安康萬里,,1.6,,,,0,-10.0,10.0
2025-05-21,7,model_top,安康萬里,,1.6,,,,0,-10.0,10.0
2025-05-21,8,value_bet,哈羅威,楊明綸,7.0,0.2637742088964424,0.11624843682667003,2.2690559640792225,0,-10.0,10.0
2025-05-21,8,value_bet,有財有勢,艾兆禮,13.0,0.1872378519885285,0.06259531213743771,2.991244002065502,0,-10.0,10.0
2025-05-21,8,value_bet,紅海勁,巴度,12.0,0.09247167465077707,0.06781158814889085,1.3636559351440227,0,-10.0,10.0
2025-05-21,8,value_bet,信心星,布文,12.0,0.10207851858843718,0.06781158814889085,1.5053255848293654,0,-10.0,10.0
2025-05-21,8,value_bet,盈妍威楓,梁家俊,27.0,0.11177470596610438,0.030138483621729266,3.7087037081559395,0,-10.0,10.0
2025-05-21,8,favourite,佛亮老撾,,3.3,,,,0,-10.0,10.0
2025-05-21,8,model_top,哈羅威,,7.0,,,,0,-10.0,10.0
2025-05-21,9,value_bet,天足貓,賀銘年,6.3,0.19008946798364648,0.12933663272943022,1.469726433819489,0,-10.0,10.0
2025-05-21,9,value_bet,超勁赤兔,梁家俊,27.0,0.0828301167933789,0.03017854763686705,2.744668755768454,0,-10.0,10.0
2025-05-21,9,value_bet,八駿巨昇,鍾易禮,15.0,0.115178886306412,0.05432138574636069,2.1203230500085044,0,-10.0,10.0
2025-05-21,9,value_bet,廚神,潘明輝,10.0,0.16426822994570947,0.08148207861954104,2.0160044113837157,0,-10.0,10.0
2025-05-21,9,value_bet,金牌活力,田泰安,7.6,0.14203048109158622,0.10721326134150136,1.3247473242995866,0,-10.0,10.0
2025-05-21,9,favourite,騰龍四海,,4.0,,,,1,30.0,10.0
2025-05-21,9,model_top,天足貓,,6.3,,,,0,-10.0,10.0
2025-05-25,1,value_bet,馬達,梁家俊,27.0,0.05998596051602538,0.03020013207288507,1.9862813967586341,0,-10.0,10.0
2025-05-25,1,value_bet,華夏俊馬,楊明綸,13.0,0.14058666804279013,0.06272335122829976,2.2413768602873962,0,-10.0,10.0
2025-05-25,1,value_bet,星將,霍宏聲,6.2,0.18787085545961535,0.13151670418837047,1.4284942480806788,0,-10.0,10.0
2025-05-25,1,value_bet,勁勇皇駒,希威森,9.6,0.159998301952018,0.08493787145498927,1.8837098129637633,0,-10.0,10.0
2025-05-25,1,favourite,不勞而獲,,1.9,,,,0,-10.0,10.0
2025-05-25,1,model_top,快活精神,,4.4,,,,0,-10.0,10.0
2025-05-25,10,value_bet,奔放,鍾易禮,15.0,0.08825289099542101,0.054744970998272253,1.612073024903169,0,-10.0,10.0
2025-05-25,10,value_bet,安可,艾道拿,7.4,0.2664408876279976,0.11096953580730862,2.401027324207744,0,-10.0,10.0
2025-05-25,10,value_bet,快路,湯普新,20.0,0.05800174233720813,0.04105872824870419,1.412653163192863,0,-10.0,10.0
2025-05-25,10,favourite,金主,,2.0,,,,1,10.0,10.0
2025-05-25,10,model_top,金主,,2.0,,,,1,10.0,10.0
2025-05-25,11,value_bet,嘉應巨昇,潘明輝,20.0,0.09704566653273625,0.040742578779944395,2.381922535068083,0,-10.0,10.0
2025-05-25,11,favourite,綠野飛馳,,2.2,,,,0,-10.0,10.0
2025-05-25,11,model_top,綠野飛馳,,2.2,,,,0,-10.0,10.0
2025-05-25,2,value_bet,龍之光,奧爾民,12.0,0.24669744165902963,0.06728751695834136,3.66631810491333,0,-10.0,10.0
2025-05-25,2,value_bet,特別美麗,賀銘年,16.0,0.16321480506385377,0.050465637718756014,3.234177005221783,0,-10.0,10.0
2025-05-25,2,favourite,白鷺金剛,,1.8,,,,0,-10.0,10.0
2025-05-25,2,model_top,白鷺金剛,,1.8,,,,0,-10.0,10.0
2025-05-25,3,value_bet,合夥飛馳,潘頓,3.8,0.3130050839511195,0.21270991490937177,1.471511490587921,0,-10.0,10.0
